time,kapasite_faktoru
5696,0
5697,0
5698,0
5699,0
5700,0.026356589
5701,0.110077519
5702,0.306976742
5703,0.482945733
5704,0.609302321
5705,0.667441856
5706,0.768217049
5707,0.751937979
5708,0.803875963
5709,0.670542631
5710,0.399999992
5711,0.524489786
5712,0.228571424
5713,0.102040814
5714,0.004081633
5715,0
5716,0
5717,0
5718,0
5719,0
5720,0
5721,0
5722,0
5723,0
5724,0.006976744
5725,0.1124031
5726,0.320155036
5727,0.601550383
5728,0.769767436
5729,0.652713173
5730,0.598449608
5731,0.5744186
5732,0.45581395
5733,0.734108522
5734,0.363265299
5735,0.397959176
5736,0.067346937
5737,0.042857142
5738,0.012244898
5739,0
5740,0
5741,0
5742,0
5743,0
5744,0
5745,0
5746,0
5747,0
5748,0.007751938
5749,0.131007751
5750,0.371317827
5751,0.513953485
5752,0.696124026
5753,0.813953482
5754,0.806122433
5755,0.573469377
5756,0.922448962
5757,0.783673454
5758,0.620408151
5759,0.471428562
5760,0.110204079
5761,0.026530612
5762,0.006122449
5763,0
5764,0
5765,0
5766,0
5767,0
5768,0
5769,0
5770,0
5771,0
5772,0.003875969
5773,0.079844961
5774,0.267441858
5775,0.556589143
5776,0.775193793
5777,0.796899219
5778,0.834883715
5779,0.653488367
5780,0.640816314
5781,0.471428562
5782,0.255102036
5783,0.210204078
5784,0.136734691
5785,0.048979591
5786,0.006122449
5787,0
5788,0
5789,0
5790,0
5791,0
5792,0
5793,0
5794,0
5795,0
5796,0.010852713
5797,0.104651162
5798,0.327131781
5799,0.577519376
5800,0.757364335
5801,0.898449606
5802,0.827131777
5803,0.947286822
5804,0.885714268
5805,0.834693861
5806,0.546938765
5807,0.459183665
5808,0.244897954
5809,0.048979591
5810,0.006122449
5811,0
5812,0
5813,0
5814,0
5815,0
5816,0
5817,0
5818,0
5819,0
5820,0.010077519
5821,0.10620155
5822,0.305426354
5823,0.615503871
5824,0.711627902
5825,0.804651157
5826,1
5827,0
5828,0
5829,0
5830,0
5831,0
5832,0
5833,0
5834,0
5835,0
5836,0
5837,0
5838,0
5839,0
5840,0
5841,0
5842,0
5843,0
5844,0.007751938
5845,0.100775193
5846,0.311627905
5847,0.604651158
5848,0.740310072
5849,0.811627901
5850,0.804651157
5851,0.911627908
5852,0.911627908
5853,0.771317824
5854,0.673643406
5855,0.505426353
5856,0.282170541
5857,0.066666666
5858,0.010077519
5859,0
5860,0
5861,0
5862,0
5863,0
5864,0
5865,0
5866,0
5867,0
5868,0.013178294
5869,0.09612403
5870,0.319379843
5871,0.562790694
5872,0.763565886
5873,0.787596893
5874,0.889922481
5875,0.831007746
5876,0.862790699
5877,0.755813948
5878,0.612403096
5879,0.413178292
5880,0.227131781
5881,0.066666666
5882,0.003100775
5883,0
5884,0
5885,0
5886,0
5887,0
5888,0
5889,0
5890,0
5891,0
5892,0.006976744
5893,0.113953488
5894,0.307751936
5895,0.541085267
5896,0.707751933
5897,0.83178294
5898,0.843410846
5899,0.814728676
5900,0.814728676
5901,0.76434108
5902,0.697674413
5903,0.444961237
5904,0.262015502
5905,0.06744186
5906,0.003100775
5907,0
5908,0
5909,0
5910,0
5911,0
5912,0
5913,0
5914,0
5915,0
5916,0.008527132
5917,0.098449612
5918,0.316279067
5919,0.543410849
5920,0.699999995
5921,0.7868217
5922,0.844961234
5923,0.775193793
5924,0.808527126
5925,0.780620149
5926,0.603875965
5927,0.380620152
5928,0.243410851
5929,0.085271317
5930,0.002325581
5931,0
5932,0
5933,0
5934,0
5935,0
5936,0
5937,0
5938,0
5939,0
5940,0.018604651
5941,0.102325581
5942,0.324806199
5943,0.521705422
5944,0.717829452
5945,0.798449607
5946,0.848062017
5947,0.897674412
5948,0.841085265
5949,0.830232552
5950,0.660465111
5951,0.471317826
5952,0.274418603
5953,0.082170542
5954,0.003100775
5955,0
5956,0
5957,0
5958,0
5959,0
5960,0
5961,0
5962,0
5963,0
5964,0.015503876
5965,0.107751937
5966,0.334108525
5967,0.555813949
5968,0.437984493
5969,0.513178291
5970,0.546511624
5971,0.541085267
5972,0.526356585
5973,0.496124027
5974,0.427906974
5975,0.317829455
5976,0.175193797
5977,0.046511628
5978,0
5979,0
5980,0
5981,0
5982,0
5983,0
5984,0
5985,0
5986,0
5987,0
5988,0.010852713
5989,0.161224487
5990,0.34081632
5991,0.677551007
5992,0.687755089
5993,0.799999984
5994,0.940816308
5995,1
5996,0.932653043
5997,0.855102024
5998,0.669387742
5999,0.326530606
6000,0.238775506
6001,0.063265305
6002,0.010204081
6003,0
6004,0
6005,0
6006,0
6007,0
6008,0
6009,0
6010,0
6011,0
6012,0.008527132
6013,0.113953488
6014,0.293023254
6015,0.541860461
6016,0.703875964
6017,0.865891474
6018,0.843410846
6019,0.867441854
6020,0.808527126
6021,0.742635653
6022,0.658914724
6023,0.441860462
6024,0.258914727
6025,0.071317829
6026,0.012244898
6027,0
6028,0
6029,0
6030,0
6031,0
6032,0
6033,0
6034,0
6035,0
6036,0.010852713
6037,0.099224805
6038,0.313178292
6039,0.493023252
6040,0.722480615
6041,0.775968987
6042,0.824031002
6043,0.855813955
6044,0.738759684
6045,0.751937979
6046,0.637984491
6047,0.386046509
6048,0.220930231
6049,0.078294573
6050,0.003100775
6051,0
6052,0
6053,0
6054,0
6055,0
6056,0
6057,0
6058,0
6059,0
6060,0.008527132
6061,0.099999999
6062,0.306201548
6063,0.489147283
6064,0.676744181
6065,0.79302325
6066,0.679844956
6067,0.683720925
6068,0.780620149
6069,0.6868217
6070,0.434883718
6071,0.135658914
6072,0.216279068
6073,0.06744186
6074,0.003875969
6075,0
6076,0
6077,0
6078,0
6079,0
6080,0
6081,0
6082,0
6083,0
6084,0.017829457
6085,0.103100774
6086,0.306201548
6087,0.502325578
6088,0.632558135
6089,0.814728676
6090,0.752713173
6091,0.814728676
6092,0.817054258
6093,0.759689917
6094,0.620930228
6095,0.502325578
6096,0.265116277
6097,0.07364341
6098,0.005426357
6099,0
6100,0
6101,0
6102,0
6103,0
6104,0
6105,0
6106,0
6107,0
6108,0.010852713
6109,0.075968992
6110,0.306976742
6111,0.510852709
6112,0.704651158
6113,0.80930232
6114,0.796124025
6115,0.829457358
6116,0.86046511
6117,0.715503871
6118,0.606201546
6119,0.510077516
6120,0.25348837
6121,0.084496123
6122,0.006976744
6123,0
6124,0
6125,0
6126,0
6127,0
6128,0
6129,0
6130,0
6131,0
6132,0.014728682
6133,0.077519379
6134,0.279069765
6135,0.498449609
6136,0.609302321
6137,0.787596893
6138,0.728682165
6139,0.797674413
6140,0.791472862
6141,0.875968986
6142,0.715503871
6143,0.508527128
6144,0.222480619
6145,0.077519379
6146,0.004651163
6147,0
6148,0
6149,0
6150,0
6151,0
6152,0
6153,0
6154,0
6155,0
6156,0.009302326
6157,0.082170542
6158,0.317829455
6159,0.549612399
6160,0.785271312
6161,0.84418604
6162,0.890697668
6163,0.899999993
6164,0.885271311
6165,0.739534878
6166,0.727906971
6167,0.443410849
6168,0.290697672
6169,0.065891472
6170,0.003100775
6171,0
6172,0
6173,0
6174,0
6175,0
6176,0
6177,0
6178,0
6179,0
6180,0.005426357
6181,0.093798449
6182,0.310077517
6183,0.520155035
6184,0.738759684
6185,0.827906971
6186,0.912403094
6187,0.878294567
6188,0.892248055
6189,0.77674418
6190,0.707751933
6191,0.482170539
6192,0.266666665
6193,0.070542635
6194,0.003875969
6195,0
6196,0
6197,0
6198,0
6199,0
6200,0
6201,0
6202,0
6203,0
6204,0.009302326
6205,0.086046511
6206,0.320155036
6207,0.524806198
6208,0.70930232
6209,0.813953482
6210,0.907751939
6211,0.848062009
6212,0.875968986
6213,0.732558134
6214,0.726530598
6215,0.46734693
6216,0.242857138
6217,0.057142856
6218,0.006122449
6219,0
6220,0
6221,0
6222,0
6223,0
6224,0
6225,0
6226,0
6227,0
6228,0.008527132
6229,0.072093023
6230,0.302325579
6231,0.503100771
6232,0.732558134
6233,0.81550387
6234,0.83798449
6235,0.903100769
6236,0.875193792
6237,0.77054263
6238,0.659689918
6239,0.489147283
6240,0.266666665
6241,0.06744186
6242,0.003100775
6243,0
6244,0
